origem,destino,tipo,distancia,escalas,caminho_str,origem_pais,destino_pais
POJ,ROS,Azul→Gol,2534.0978147509177,2,POJ → CNF → GRU → ROS,BR,AR
ROS,POJ,Gol→Azul,2534.0978147509177,2,ROS → GRU → CNF → POJ,AR,BR
DIQ,COR,Azul→Gol,2562.9680036254467,2,DIQ → CNF → GRU → COR,BR,AR
COR,DIQ,Gol→Azul,2562.9680036254467,2,COR → GRU → CNF → DIQ,AR,BR
IPN,COR,Azul→Gol,2601.798005275813,2,IPN → CNF → GRU → COR,BR,AR
COR,IPN,Gol→Azul,2601.798005275813,2,COR → GRU → CNF → IPN,AR,BR
POJ,VVI,Azul→Gol,2630.078173757711,2,POJ → CNF → GRU → VVI,BR,BO
VVI,POJ,Gol→Azul,2630.078173757711,2,VVI → GRU → CNF → POJ,BO,BR
VVI,UMU,Gol→Azul,2667.069386183597,3,VVI → GRU → CGH → CWB → UMU,BO,BR
UMU,VVI,Azul→Gol,2667.069386183597,3,UMU → CWB → CGH → GRU → VVI,BR,BO
POJ,COR,Azul→Gol,2736.4888875614297,2,POJ → CNF → GRU → COR,BR,AR
COR,POJ,Gol→Azul,2736.4888875614297,2,COR → GRU → CNF → POJ,AR,BR
PDP,VVI,Azul→Gol,3362.965667590532,2,PDP → POA → GRU → VVI,UY,BO
VVI,PDP,Gol→Azul,3362.965667590532,2,VVI → GRU → POA → PDP,BO,UY
UNA,AEP,Azul→Gol,3425.7431866676734,2,UNA → SSA → CGH → AEP,BR,AR
AEP,UNA,Gol→Azul,3425.7431866676734,2,AEP → CGH → SSA → UNA,AR,BR
UNA,EZE,Azul→Gol,3454.454638098172,2,UNA → SSA → CGH → EZE,BR,AR
EZE,UNA,Gol→Azul,3454.454638098172,2,EZE → CGH → SSA → UNA,AR,BR
ROS,UNA,Gol→Azul,3484.5411006228223,2,ROS → GRU → SSA → UNA,AR,BR
UNA,ROS,Azul→Gol,3484.541100622823,2,UNA → SSA → GRU → ROS,BR,AR
OIA,AEP,Azul→Gol,3523.047073949593,2,OIA → BSB → POA → AEP,BR,AR
AEP,OIA,Gol→Azul,3523.047073949593,2,AEP → POA → BSB → OIA,AR,BR
OIA,EZE,Azul→Gol,3549.517397338417,2,OIA → BSB → POA → EZE,BR,AR
EZE,OIA,Gol→Azul,3549.517397338417,2,EZE → POA → BSB → OIA,AR,BR
DIQ,CZS,Azul→Gol,3560.2586150794323,2,DIQ → CNF → BSB → CZS,BR,BR
CZS,DIQ,Gol→Azul,3560.2586150794323,2,CZS → BSB → CNF → DIQ,BR,BR
