origem,destino,tipo,distancia,escalas,caminho_str
PUJ,MEU,Gol→Azul,9181.56214772373,2,PUJ → GRU → FOR → MEU
CIZ,MIA,Azul→Gol,9377.940433734255,2,CIZ → BSB → FOR → MIA
MIA,CIZ,Gol→Azul,9377.940433734255,2,MIA → FOR → BSB → CIZ
JMA,AEP,Azul→Gol,9546.859577524847,2,JMA → VCP → POA → AEP
AEP,JMA,Gol→Azul,9546.859577524847,2,AEP → POA → VCP → JMA
JMA,EZE,Azul→Gol,9573.329900913672,2,JMA → VCP → POA → EZE
EZE,JMA,Gol→Azul,9573.329900913672,2,EZE → POA → VCP → JMA
JMA,ROS,Azul→Gol,9632.849648095967,2,JMA → VCP → CGH → ROS
ROS,JMA,Gol→Azul,9632.849648095967,2,ROS → CGH → VCP → JMA
JMA,VVI,Azul→Gol,9754.301459886303,2,JMA → VCP → GRU → VVI
VVI,JMA,Gol→Azul,9754.301459886303,2,VVI → GRU → VCP → JMA
JMA,COR,Azul→Gol,9836.38362512309,2,JMA → VCP → CGH → COR
COR,JMA,Gol→Azul,9836.383625123091,2,COR → CGH → VCP → JMA
FLL,CZS,Azul→Gol,9857.684628282881,2,FLL → CNF → BSB → CZS
CZS,FLL,Gol→Azul,9857.684628282881,2,CZS → BSB → CNF → FLL
SJL,MIA,Azul→Gol,9987.15202042957,2,SJL → BSB → FOR → MIA
MIA,SJL,Gol→Azul,9987.15202042957,2,MIA → FOR → BSB → SJL
FLL,BOG,Azul→Gol,10930.337930507472,2,FLL → VCP → GRU → BOG
BOG,FLL,Gol→Azul,10930.337930507472,2,BOG → GRU → VCP → FLL
FLL,AUA,Azul→Gol,11340.59806464679,2,FLL → VCP → GRU → AUA
AUA,FLL,Gol→Azul,11340.59806464679,2,AUA → GRU → VCP → FLL
JMA,CZS,Azul→Gol,11478.045772790192,2,JMA → VCP → BSB → CZS
CZS,JMA,Gol→Azul,11478.045772790194,2,CZS → BSB → VCP → JMA
FLL,PUJ,Azul→Gol,11834.93202407999,2,FLL → VCP → GRU → PUJ
PUJ,FLL,Gol→Azul,11834.93202407999,2,PUJ → GRU → VCP → FLL
JMA,BOG,Azul→Gol,12242.138628958068,2,JMA → VCP → GRU → BOG
BOG,JMA,Gol→Azul,12242.138628958068,2,BOG → GRU → VCP → JMA
JMA,AUA,Azul→Gol,12652.398763097386,2,JMA → VCP → GRU → AUA
AUA,JMA,Gol→Azul,12652.398763097386,2,AUA → GRU → VCP → JMA
JMA,PUJ,Azul→Gol,13146.732722530585,2,JMA → VCP → GRU → PUJ
PUJ,JMA,Gol→Azul,13146.732722530585,2,PUJ → GRU → VCP → JMA
FLL,MIA,Azul→Gol,13167.882158488508,2,FLL → VCP → GRU → MIA
MIA,FLL,Gol→Azul,13167.882158488508,2,MIA → GRU → VCP → FLL
JMA,MIA,Azul→Gol,14479.682856939104,2,JMA → VCP → GRU → MIA
MIA,JMA,Gol→Azul,14479.682856939104,2,MIA → GRU → VCP → JMA
