origin,destination,origin_city,dest_city,path,path_length,stops,total_distance,direct_distance,efficiency,airlines,segments
DTW,LAJ,Detroit Metropolitan Wayne County Airport,Lages Airport,DTW → GRU → CWB → VCP → LAJ,5,3,9549.0,8490.02,0.889,"G3, AD","[{'from': 'DTW', 'to': 'GRU', 'airline': 'G3', 'distance': 8223.66}, {'from': 'GRU', 'to': 'CWB', 'airline': 'G3', 'distance': 359.1}, {'from': 'CWB', 'to': 'VCP', 'airline': 'G3', 'distance': 348.41}, {'from': 'VCP', 'to': 'LAJ', 'airline': 'AD', 'distance': 617.83}]"
GIG,RVD,Rio Gale�o � Tom Jobim International Airport,General Leite de Castro Airport,GIG → VCP → RVD,3,1,1097.87,975.17,0.888,"G3, AD","[{'from': 'GIG', 'to': 'VCP', 'airline': 'G3', 'distance': 398.4}, {'from': 'VCP', 'to': 'RVD', 'airline': 'AD', 'distance': 699.47}]"
RVD,GIG,General Leite de Castro Airport,Rio Gale�o � Tom Jobim International Airport,RVD → VCP → GIG,3,1,1097.87,975.17,0.888,"G3, AD","[{'from': 'RVD', 'to': 'VCP', 'airline': 'AD', 'distance': 699.47}, {'from': 'VCP', 'to': 'GIG', 'airline': 'G3', 'distance': 398.4}]"
SSA,UDI,Deputado Luiz Eduardo Magalh�es International Airport,Ten. Cel. Aviador C�sar Bombonato Airport,SSA → BPS → UDI,3,1,1407.02,1249.59,0.888,"G3, AD","[{'from': 'SSA', 'to': 'BPS', 'airline': 'G3', 'distance': 400.9}, {'from': 'BPS', 'to': 'UDI', 'airline': 'AD', 'distance': 1006.12}]"
CNF,BYO,Tancredo Neves International Airport,Bonito Airport,CNF → VCP → BYO,3,1,1478.13,1312.52,0.888,"G3, AD","[{'from': 'CNF', 'to': 'VCP', 'airline': 'G3', 'distance': 498.78}, {'from': 'VCP', 'to': 'BYO', 'airline': 'AD', 'distance': 979.35}]"
BYO,CNF,Bonito Airport,Tancredo Neves International Airport,BYO → VCP → CNF,3,1,1478.13,1312.52,0.888,"G3, AD","[{'from': 'BYO', 'to': 'VCP', 'airline': 'AD', 'distance': 979.35}, {'from': 'VCP', 'to': 'CNF', 'airline': 'G3', 'distance': 498.78}]"
CMG,BRA,Corumb� International Airport,Barreiras Airport,CMG → CGR → BSB → BRA,4,2,1756.33,1559.19,0.888,"G3, AD","[{'from': 'CMG', 'to': 'CGR', 'airline': 'AD', 'distance': 353.19}, {'from': 'CGR', 'to': 'BSB', 'airline': 'G3', 'distance': 877.49}, {'from': 'BSB', 'to': 'BRA', 'airline': 'AD', 'distance': 525.65}]"
BRA,CMG,Barreiras Airport,Corumb� International Airport,BRA → BSB → CGR → CMG,4,2,1756.33,1559.19,0.888,"G3, AD","[{'from': 'BRA', 'to': 'BSB', 'airline': 'AD', 'distance': 525.65}, {'from': 'BSB', 'to': 'CGR', 'airline': 'G3', 'distance': 877.49}, {'from': 'CGR', 'to': 'CMG', 'airline': 'AD', 'distance': 353.19}]"
CMG,FEC,Corumb� International Airport,FEIRA DE SANTANA/J.D.CARNEIRO,CMG → CGR → BSB → SSA → FEC,5,3,2416.31,2145.59,0.888,"G3, AD","[{'from': 'CMG', 'to': 'CGR', 'airline': 'AD', 'distance': 353.19}, {'from': 'CGR', 'to': 'BSB', 'airline': 'G3', 'distance': 877.49}, {'from': 'BSB', 'to': 'SSA', 'airline': 'G3', 'distance': 1084.75}, {'from': 'SSA', 'to': 'FEC', 'airline': 'AD', 'distance': 100.88}]"
FEN,MEA,Fernando de Noronha Airport,Maca� Airport,FEN → REC → SSA → SDU → MEA,5,3,2578.93,2289.01,0.888,"G3, AD","[{'from': 'FEN', 'to': 'REC', 'airline': 'G3', 'distance': 549.56}, {'from': 'REC', 'to': 'SSA', 'airline': 'G3', 'distance': 648.65}, {'from': 'SSA', 'to': 'SDU', 'airline': 'G3', 'distance': 1224.06}, {'from': 'SDU', 'to': 'MEA', 'airline': 'AD', 'distance': 156.66}]"
